Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3383-7663-2676-21536,2021-10-16,1634378877,Charged,woods_fn,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SEK,55.20,13.80,69.00,,,,SE,,
GPA.3300-0379-9532-74565,2021-10-16,1634380801,Charged,gtaxlwifi,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.64,1.35,6.99,,,,GR,,
GPA.3358-9436-9744-84389,2021-10-16,1634381384,Charged,beyond2,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,IDR,"93,000.00","9,300.00","102,300.00",Kabupaten Pasuruan,JAWA TIMUR,67175,ID,,
GPA.3364-4958-9508-85948,2021-10-16,1634383587,Charged,a10,removeads (Compass :Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.49,0.50,2.99,,,,FR,,
GPA.3364-6903-4160-00545,2021-10-16,1634384126,Charged,Nord,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Mumbai,Maharashtra,400060,IN,,
GPA.3311-3307-7577-03311,2021-10-16,1634385339,Refund,1726,removeads (Compass :Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,THB,84.11,-5.89,-90.00,,,72210,TH,,
GPA.3377-3737-2766-21570,2021-10-16,1634391595,Charged,p3s,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Phagwara,Punjab,144401,IN,,
GPA.3331-1358-4795-27285,2021-10-16,1634417961,Charged,HWLDN-Q,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CLP,"4,454.00",846.00,"5,300.00",,,,CL,,
GPA.3375-0056-2685-38859,2021-10-16,1634423797,Charged,octopus_cheets,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,USD,5.49,0.36,5.85,FORT MYERS,FL,33916,US,,
GPA.3327-3503-3953-89487,2021-10-17,1634434480,Charged,a32,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,USD,2.99,0.00,2.99,Santo Domingo,,230101,EC,,
